acc1-1,acc1-2,acc1-3,gyro1-1,gyro1-2,gyro1-3,acc2-1,acc2-2,acc2-3,gyro2-1,gyro2-2,gyro2-3,acc3-1,acc3-2,acc3-3,gyro3-1,gyro3-2,gyro3-3,acc4-1,acc4-2,acc4-3,gyro4-1,gyro4-2,gyro4-3,acc5-1,acc5-2,acc5-3,gyro5-1,gyro5-2,gyro5-3,acc6-1,acc6-2,acc6-3,gyro6-1,gyro6-2,gyro6-3,acc7-1,acc7-2,acc7-3,gyro7-1,gyro7-2,gyro7-3,acc8-1,acc8-2,acc8-3,gyro8-1,gyro8-2,gyro8-3,acc9-1,acc9-2,acc9-3,gyro9-1,gyro9-2,gyro9-3,acc10-1,acc10-2,acc10-3,gyro10-1,gyro10-2,gyro10-3,label
-8.7,1.4,0.7,-78.1,116,75.1,-8.7,1.4,0.7,-121.1,-109.7,1.7,2.7,-7.2,3.8,-121.1,-109.7,1.7,2.7,-7.2,3.8,-91.9,-60.2,-48.4,2.8,-1.2,-9.6,-91.9,-60.2,-48.4,2.8,-1.2,-9.6,-82.6,198.6,-102.2,2.8,-1.2,-9.6,-8.9,69.6,102.8,-9.1,2.1,-10.4,-8.9,69.6,102.8,-9.1,2.1,-10.4,-5.4,-99.2,71.2,-7.4,-4.8,-0.1,-5.4,-99.2,71.2,1
3,-7.4,0.2,-5.4,-99.2,71.2,3,-7.4,0.2,-62.9,-59.2,-79.2,3,-7.4,0.2,-66.3,153.8,-59.6,-1.9,-3,-10.2,-66.3,153.8,-59.6,-9.9,0,-7.7,-66.3,153.8,-59.6,-9.9,0,-7.7,-41.5,68.6,88.7,-9.7,-2.7,-1.3,-41.5,68.6,88.7,-9.7,-2.7,-1.3,-62.1,-65.5,61.8,2.8,-7.2,3.4,-62.1,-65.5,61.8,2.8,-7.2,3.4,-97,-70.2,-44.1,1
2.8,-5.2,-8.2,-97,-70.2,-44.1,2.8,-5.2,-8.2,-56,62.4,-99.4,2.8,-5.2,-8.2,-22.1,103,69.9,-7.3,0.4,-9.5,-22.1,103,69.9,-7.3,0.4,-9.5,-68.6,-17.9,116.3,-10.2,-0.7,-3.3,-68.6,-17.9,116.3,0,-7.3,2,-68.6,-17.9,116.3,0,-7.3,2,-31.2,-136.1,-36,3.4,-5.9,-6.6,-31.2,-136.1,-36,3.4,-5.9,-6.6,-39.6,30.8,-104.9,1
-6.3,-1.7,-9.2,-39.6,30.8,-104.9,-6.3,-1.7,-9.2,-41.7,114.1,44.6,-6.3,-1.7,-9.2,-111.2,41,154.9,-12.8,2.4,-4.3,-111.2,41,154.9,-12.8,2.4,-4.3,-68.3,-166.8,18.8,-5.6,-4.6,2.4,-68.3,-166.8,18.8,2,-7.7,-0.9,-68.3,-166.8,18.8,2,-7.7,-0.9,-20.1,-5.7,-116.7,-4,-2.1,-11.2,-20.1,-5.7,-116.7,-4,-2.1,-11.2,-57.2,114.2,-41.2,1
-4,-2.1,-11.2,-41.5,83.9,106.5,-7,-0.7,-9.2,-41.5,83.9,106.5,-7,-0.7,-9.2,-80.4,-113.4,38.6,-8.1,-3.4,-0.4,-80.4,-113.4,38.6,2.9,-7.9,1.5,-80.4,-113.4,38.6,2.9,-7.9,1.5,-82.2,-51.2,-87.4,-1.3,-3.9,-9.1,-82.2,-51.2,-87.4,-1.3,-3.9,-9.1,-67,113.9,-62.6,-9.1,1.1,-9.7,-67,113.9,-62.6,-9.1,1.1,-9.7,18.7,73,83.5,1
-9.1,1.1,-9.7,-107.7,-77.8,61.3,-9.1,-1.3,-0.6,-107.7,-77.8,61.3,-9.1,-1.3,-0.6,-79.1,-86.8,-88.6,2.3,-7.9,1.5,-79.1,-86.8,-88.6,2.3,-7.9,1.5,-9,109.3,-62.7,-3.3,-2.9,-10.2,-9,109.3,-62.7,-7.8,1.4,-7.7,-9,109.3,-62.7,-7.8,1.4,-7.7,-31.4,115.8,98.8,-10.4,0.2,-2.9,-31.4,115.8,98.8,-10.4,0.2,-2.9,-79.1,-76.4,58.8,1
-1.4,-7.6,3.1,-79.1,-76.4,58.8,-1.4,-7.6,3.1,10.7,-98.7,-21.2,1.7,-7.4,-2.4,10.7,-98.7,-21.2,1.7,-7.4,-2.4,-36,-25.8,-113.5,1.7,-7.4,-2.4,-53.3,108.1,-14.3,-6.2,-2.6,-8.9,-53.3,108.1,-14.3,-9.2,2.7,-6.2,-53.3,108.1,-14.3,-9.2,2.7,-6.2,-39.2,106,74.8,-9.2,2.7,-6.2,-35.3,-40,71,-12,1.8,-3.6,-35.3,-40,71,1
-5,-5.6,3.2,-35.3,-40,71,-5,-5.6,3.2,-7.9,-148.4,-2.3,1.9,-5.9,-7.9,-7.9,-148.4,-2.3,1.9,-5.9,-7.9,-51.1,62.5,-105.6,-7.9,0.5,-4.9,-51.1,62.5,-105.6,-7.9,0.5,-4.9,-80.4,106.1,72.3,-7.9,0.5,-4.9,-78.7,-85.1,70.7,-11.8,4.3,1.4,-78.7,-85.1,70.7,-0.5,-6.5,2,-78.7,-85.1,70.7,-0.5,-6.5,2,7.7,-155.4,-107.5,1
-0.5,-6.5,2,-151.5,112.2,-144.9,-2.7,-2.5,-8.4,-151.5,112.2,-144.9,-8.9,0.7,-5.8,-151.5,112.2,-144.9,-8.9,0.7,-5.8,-18.8,99.1,100,-11.4,1.5,2.5,-18.8,99.1,100,-11.4,1.5,2.5,-91.2,-140.7,7,-11.4,1.5,2.5,13.5,-67.3,-103.4,3.6,-7.6,0.9,13.5,-67.3,-103.4,-4.3,-3,-10.1,13.5,-67.3,-103.4,-4.3,-3,-10.1,-120.3,145.2,-54.1,1
-4.3,-3,-10.1,-64.6,85.2,125,-11.2,0.5,-5.8,-64.6,85.2,125,-3.3,-4.9,2,-64.6,85.2,125,-3.3,-4.9,2,-69.5,-116.9,-17.3,4.6,-7.5,0.8,-69.5,-116.9,-17.3,4.6,-7.5,0.8,-88.6,-63.3,-53.3,4.6,-7.5,0.8,-98.6,153.3,-136.8,0.1,-3.5,-9,-98.6,153.3,-136.8,0.1,-3.5,-9,-29,63.3,98.3,-10.4,1.9,-5.4,-29,63.3,98.3,1
-9.9,-0.8,0.7,-29,63.3,98.3,-9.9,-0.8,0.7,-46.2,-81.4,136.7,0.3,-7.4,4.2,-46.2,-81.4,136.7,0.3,-7.4,4.2,-67.7,-101.7,-50.7,0.3,-7.4,4.2,-48.7,-34.9,-91.9,4.3,-8,-0.7,-48.7,-34.9,-91.9,-5.7,-1.2,-8.7,-48.7,-34.9,-91.9,-5.7,-1.2,-8.7,-212.7,200.2,-21.7,-5.7,-1.2,-8.7,-66.1,29.7,127.5,-9.8,2.8,-4,-66.1,29.7,127.5,1
-9.4,-1.3,3.7,-66.1,29.7,127.5,-9.4,-1.3,3.7,-62.5,-139.4,-0.5,4.5,-8.1,-0.3,-62.5,-139.4,-0.5,4.5,-8.1,-0.3,-45.3,-53.1,-101.1,4.5,-8.1,-0.3,-103.5,185.2,-73.8,-4.8,0.4,-9.8,-103.5,185.2,-73.8,-12.4,5,-1.7,-103.5,185.2,-73.8,-12.4,5,-1.7,-75.7,-8.7,137.9,-5.3,-4.4,1.8,-75.7,-8.7,137.9,-5.3,-4.4,1.8,-48.7,-190.6,7.1,1
-5.3,-4.4,1.8,-35.8,-32.4,-94.5,4.7,-7,-1.1,-35.8,-32.4,-94.5,4.7,-7,-1.1,-108.3,114.1,-35.7,-2.6,-2.1,-10.8,-108.3,114.1,-35.7,-2.6,-2.1,-10.8,-73.3,-12,132.6,-11.8,1.9,-4.7,-73.3,-12,132.6,-11.8,1.9,-4.7,-52.1,-204.8,-61.1,0,-4.8,2.2,-52.1,-204.8,-61.1,3.2,-3,-7.6,-52.1,-204.8,-61.1,3.2,-3,-7.6,-88,71.4,-115.6,1
3.2,-3,-7.6,-186.9,134.2,84.4,-7.8,1.5,-9.4,-186.9,134.2,84.4,-11.1,1.4,-0.8,-186.9,134.2,84.4,-11.1,1.4,-0.8,-32.5,-105.7,79.9,-11.1,1.4,-0.8,-4.6,-179.8,-75.6,-0.3,-6.5,2.5,-4.6,-179.8,-75.6,0,-0.9,-10.2,-4.6,-179.8,-75.6,0,-0.9,-10.2,-69.5,131.5,-128.8,-7.3,3.9,-6,-69.5,131.5,-128.8,-7.3,3.9,-6,-46,130.6,74.4,1
-10.4,0.1,-0.5,-46,130.6,74.4,-10.4,0.1,-0.5,-32.9,-87.4,120.2,2.8,-6.3,-0.5,-32.9,-87.4,120.2,2.8,-6.3,-0.5,-39.3,-122.4,-107.1,2.8,-6.3,-0.5,-110.8,98,-138.8,-1.5,-1.7,-7.7,-110.8,98,-138.8,-9.8,2.3,-5.9,-110.8,98,-138.8,-9.8,2.3,-5.9,-20.8,36.7,35,-9.9,0.9,-0.5,-20.8,36.7,35,-9.9,0.9,-0.5,-150.5,-98.2,70.6,1
-9.9,0.9,-0.5,-41.3,-79.4,-134.9,2.6,-6.3,1.2,-41.3,-79.4,-134.9,-7.2,1,-9.6,-41.3,-79.4,-134.9,-7.2,1,-9.6,-406,148.8,-45.2,-10.3,3.4,-2.2,-406,148.8,-45.2,-10.3,3.4,-2.2,-24.2,-44.5,120.6,-10.3,3.4,-2.2,-9.3,-179.2,10.9,-5.3,-4.3,2.7,-9.3,-179.2,10.9,-5.3,-4.3,2.7,-71.7,-37.4,-126.1,3.4,-6.4,-2.3,-71.7,-37.4,-126.1,1
-6.6,1.4,-10.1,-71.7,-37.4,-126.1,-6.6,1.4,-10.1,-66.4,158.8,25,-10.9,2.4,-4.8,-66.4,158.8,25,-10.9,2.4,-4.8,-42.6,-23.4,151.7,-2.2,-6.4,1.5,-42.6,-23.4,151.7,-2.2,-6.4,1.5,-15.1,-174.5,-23.8,3.9,-3.8,-8.3,-15.1,-174.5,-23.8,3.9,-3.8,-8.3,-97.4,21.2,-118.7,-6.3,4.1,-10.2,-97.4,21.2,-118.7,-6.3,4.1,-10.2,-50.7,205.2,100.5,1
-10.2,0.6,-3.4,-50.7,205.2,100.5,-10.2,0.6,-3.4,-57.2,-33.3,93.9,-1.4,-7,0.4,-57.2,-33.3,93.9,-1.4,-7,0.4,-36.4,-162.8,-70.2,2.1,-4.4,-10.3,-36.4,-162.8,-70.2,2.1,-4.4,-10.3,-72.2,91.3,-67,2.1,-4.4,-10.3,-152.8,122.2,81.8,-7.9,3.2,-7.4,-152.8,122.2,81.8,-7.9,3.2,-7.4,-89.1,-97.4,138.8,-10.1,0.3,-0.5,-89.1,-97.4,138.8,1
-1.4,-7.8,2.8,-89.1,-97.4,138.8,-1.4,-7.8,2.8,-44.5,-30.3,-49.6,-1.9,-3.5,-10.1,-44.5,-30.3,-49.6,-1.9,-3.5,-10.1,-21,39.4,-157.7,-1.9,-3.5,-10.1,-27.8,75.8,81.5,-8.5,2.1,-7,-27.8,75.8,81.5,-10.6,1.5,-3.7,-27.8,75.8,81.5,-10.6,1.5,-3.7,-62.6,-57.8,113.9,1,-5.8,2,-62.6,-57.8,113.9,1,-5.8,2,-106.4,-211.6,-49.3,1
1.3,-4.1,-6.8,-106.4,-211.6,-49.3,1.3,-4.1,-6.8,-121.3,102.8,-117.4,-6.4,2.3,-6.8,-121.3,102.8,-117.4,-6.4,2.3,-6.8,-78.4,148.4,91.8,-11.6,0.5,-5.2,-78.4,148.4,91.8,-11.6,0.5,-5.2,-36.1,-103.2,93.4,-11.6,0.5,-5.2,-19.6,-125.2,-79.2,2.9,-7.8,-2.1,-19.6,-125.2,-79.2,-3,-2,-9,-19.6,-125.2,-79.2,-3,-2,-9,-76.2,117.5,-47.3,1
-7.8,2.6,-6.4,-76.2,117.5,-47.3,-7.8,2.6,-6.4,-83.9,85.4,57.4,-11.1,2,-0.1,-83.9,85.4,57.4,-11.1,2,-0.1,-157.5,-54.5,114.9,-11.1,2,-0.1,-15.4,-172.3,-119.6,0.5,-6.4,1.5,-15.4,-172.3,-119.6,-5.2,-1.2,-10.7,-15.4,-172.3,-119.6,-5.2,-1.2,-10.7,-70.1,126.8,-107,-5.2,-1.2,-10.7,-74.6,-29.9,118.2,-14.9,4,-3.4,-74.6,-29.9,118.2,1
-14.9,4,-3.4,-97.9,-115.5,-58.4,-6.4,-2.3,3.5,-97.9,-115.5,-58.4,-6.4,-2.3,3.5,-45.9,-30.3,-101.2,4.5,-6.9,-0.1,-45.9,-30.3,-101.2,4.5,-6.9,-0.1,-120.7,188.7,3.6,-8.3,1.4,-8.7,-120.7,188.7,3.6,-13.6,4.6,-4.1,-120.7,188.7,3.6,-13.6,4.6,-4.1,-29.5,-23,130,-3.1,-4.4,1.6,-29.5,-23,130,-3.1,-4.4,1.6,-55.7,-148.5,36.8,1
-3.1,-4.4,1.6,-112.6,-64,-65.9,3.9,-7.5,-1.8,-112.6,-64,-65.9,3.9,-7.5,-1.8,-71,199.4,-11.9,-4.9,-1.6,-10.2,-71,199.4,-11.9,-4.9,-1.6,-10.2,-7.3,-1.8,143.7,-10.2,3.1,-7.2,-7.3,-1.8,143.7,-6.5,-4.5,-0.9,-7.3,-1.8,143.7,-6.5,-4.5,-0.9,-79,-128.3,42.2,3.7,-6.8,-3.2,-79,-128.3,42.2,3.7,-6.8,-3.2,-37.3,-12.8,-123.1,1
-7.3,0.4,-11,-37.3,-12.8,-123.1,-7.3,0.4,-11,-180,154.4,13.2,-10.2,3.2,-5.1,-180,154.4,13.2,-10.2,3.2,-5.1,-87,67.9,208,-2.4,-6.7,1.7,-87,67.9,208,-2.4,-6.7,1.7,-25.2,-138.1,-15.5,-2.4,-6.7,1.7,-130.3,-46,-215.2,6.2,-2.8,-3,-130.3,-46,-215.2,-5.9,2.6,-11.7,-130.3,-46,-215.2,-5.9,2.6,-11.7,-225.6,160.6,135.5,1
-5.9,2.6,-11.7,-99.1,-102.5,64.3,-11.4,1.3,-2,-99.1,-102.5,64.3,-11.4,1.3,-2,-14.1,-140.1,-85.7,0.2,-7.2,0,-14.1,-140.1,-85.7,1.4,-3.4,-8.6,-14.1,-140.1,-85.7,1.4,-3.4,-8.6,-87.4,64,-134.3,-11.1,4.4,-6,-87.4,64,-134.3,-11.1,4.4,-6,-76.3,53.5,65.7,-12.2,3.1,-2.7,-76.3,53.5,65.7,-12.2,3.1,-2.7,-47.2,-78.6,101.7,1
-1,-7.8,-0.1,-47.2,-78.6,101.7,-1,-7.8,-0.1,-29.4,-143.8,-56.3,-3.5,-2.6,-10.2,-29.4,-143.8,-56.3,-3.5,-2.6,-10.2,-113.6,101,-121.8,-11.3,5.1,-4.9,-113.6,101,-121.8,-11.3,5.1,-4.9,-1.1,27.6,150.7,-10.8,-0.4,0.5,-1.1,27.6,150.7,-10.8,-0.4,0.5,-128.7,-115.4,-17.2,2.4,-7.1,1.1,-128.7,-115.4,-17.2,2.4,-7.1,1.1,-111.6,-52,-110.1,1
2.4,-7.1,1.1,-97.6,174.2,-50.6,-3.3,1,-13,-97.6,174.2,-50.6,-10.6,3.1,-3.5,-97.6,174.2,-50.6,-10.6,3.1,-3.5,-137.9,36.7,204.7,-5.1,-4.8,5.7,-137.9,36.7,204.7,-5.1,-4.8,5.7,-113.2,-103.9,-43.5,-0.6,-4.7,0.9,-113.2,-103.9,-43.5,-0.6,-4.7,0.9,-105.9,162,-159.8,-9.4,2.2,-7.2,-105.9,162,-159.8,-9.4,2.2,-7.2,-49.2,145.2,128,1
-9.4,2.2,-7.2,-62.2,-99.7,70.3,-9.8,0.8,-1.9,-62.2,-99.7,70.3,-0.6,-7.8,0,-62.2,-99.7,70.3,-0.6,-7.8,0,-54.7,-132.3,-47.6,-0.8,-1.5,-10,-54.7,-132.3,-47.6,-0.8,-1.5,-10,-34.7,74.9,-139.5,-7.4,1.7,-7.6,-34.7,74.9,-139.5,-7.4,1.7,-7.6,-56.8,95.7,120.2,-8.6,-3.1,-2.5,-56.8,95.7,120.2,-8.6,-3.1,-2.5,-72.1,-94.9,65.6,1
-8.6,-3.1,-2.5,-38,-144.8,-117.1,1.5,-6.3,2.6,-38,-144.8,-117.1,1.5,-6.3,2.6,-199.6,102.1,-95.7,-3.4,-0.7,-16,-199.6,102.1,-95.7,-10.6,1.6,-4,-199.6,102.1,-95.7,-10.6,1.6,-4,-32.5,-5.1,180.2,-1.4,-5.7,5,-32.5,-5.1,180.2,-1.4,-5.7,5,-81.1,-90.2,-7.3,-1.4,-5.7,5,-56.5,16,-155.7,1.7,-5.4,-6.3,-56.5,16,-155.7,1
-5.8,0,-9.1,-56.5,16,-155.7,-5.8,0,-9.1,-2.2,120.7,82.8,-5.8,0,-9.1,-59.2,7.5,102.6,-10.4,-0.6,-4.7,-59.2,7.5,102.6,-3,-5.8,2.5,-59.2,7.5,102.6,-3,-5.8,2.5,-49,-138.3,11.3,4.4,-5.8,-3.3,-49,-138.3,11.3,4.4,-5.8,-3.3,3.2,-3.5,-106.5,-4.5,-0.7,-10.8,3.2,-3.5,-106.5,-4.5,-0.7,-10.8,-103.9,140.4,-8.9,1
-10.9,0.8,-5.8,-103.9,140.4,-8.9,-10.9,0.8,-5.8,-67.4,-16.2,118.1,-5,-7.4,2.1,-67.4,-16.2,118.1,-5,-7.4,2.1,-30.6,-156.2,-43.6,-5,-7.4,2.1,-43.7,54.4,-136.5,3.7,-4.4,-8.7,-43.7,54.4,-136.5,-4.5,-0.8,-11.2,-43.7,54.4,-136.5,-4.5,-0.8,-11.2,-61.9,85,30.7,-12.4,0.8,-3.5,-61.9,85,30.7,-12.4,0.8,-3.5,-41.2,3.3,125.3,1
-12.4,0.8,-3.5,-92.1,-90.6,-4.4,-6.4,-5.8,2.4,-92.1,-90.6,-4.4,-6.4,-5.8,2.4,-29.2,-36,-135.7,3.4,-6,-3.8,-29.2,-36,-135.7,-5.2,-0.5,-9.4,-29.2,-36,-135.7,-5.2,-0.5,-9.4,-80.2,137.2,6.5,-5.2,-0.5,-9.4,-48.4,-23.9,107.7,-12.6,2.5,-5.2,-48.4,-23.9,107.7,-5.7,-3.9,2.7,-48.4,-23.9,107.7,-5.7,-3.9,2.7,-79,-144.5,-8.5,1
-5.7,-3.9,2.7,-10,-79.9,-122.2,4.1,-6.2,-0.6,-10,-79.9,-122.2,0,-0.9,-11.6,-10,-79.9,-122.2,0,-0.9,-11.6,-173.5,140.2,-31.6,-10.1,0.9,-7.6,-173.5,140.2,-31.6,-10.1,0.9,-7.6,-30.2,1.2,126.3,-2.3,-6.3,0.4,-30.2,1.2,126.3,-2.3,-6.3,0.4,0.4,-122.6,49.5,2.9,-5.1,-7.8,0.4,-122.6,49.5,2.9,-5.1,-7.8,-128.6,18.5,-172.6,1
2.9,-5.1,-7.8,-40.1,102.6,48.8,-6.6,2.1,-12,-40.1,102.6,48.8,-6.6,2.1,-12,-24.2,-56.5,79.1,-11.8,3.2,-3.3,-24.2,-56.5,79.1,-11.8,3.2,-3.3,-84.4,-163,-66.4,-1.5,-6.4,0.1,-84.4,-163,-66.4,-5.1,-2.7,-7.6,-84.4,-163,-66.4,-5.1,-2.7,-7.6,-87.2,131.5,-71.9,-8.7,2.8,-8.4,-87.2,131.5,-71.9,-8.7,2.8,-8.4,-62.1,102.3,101.6,1
-10.9,1.8,-3.1,-62.1,102.3,101.6,-10.9,1.8,-3.1,-68.6,-51.1,107.8,-10.9,1.8,-3.1,-13.3,-118.8,-26.9,-4.4,-6.9,0.6,-13.3,-118.8,-26.9,-0.9,-3.8,-7.7,-13.3,-118.8,-26.9,-0.9,-3.8,-7.7,-78.1,43.8,-131.7,-5.5,1.5,-10.7,-78.1,43.8,-131.7,-5.5,1.5,-10.7,-11.7,79.8,36.5,-9.9,1.5,-7.7,-11.7,79.8,36.5,-9.9,1.5,-7.7,-67.2,-6.3,182.9,1
-4.7,-6,3.7,-67.2,-6.3,182.9,-4.7,-6,3.7,-62.8,-85.3,-15,5.6,-5.9,-2.9,-62.8,-85.3,-15,5.6,-5.9,-2.9,-90.8,16.8,-112.9,-3.3,0.4,-11.2,-90.8,16.8,-112.9,-3.3,0.4,-11.2,-116.1,138.5,-6.2,-9.4,2.1,-6.3,-116.1,138.5,-6.2,-9.4,2.1,-6.3,-98.2,35.6,200,-2,-7.2,1.9,-98.2,35.6,200,-2,-7.2,1.9,-85,-96.2,-90.5,1
0.9,-2.4,-11.3,-85,-96.2,-90.5,0.9,-2.4,-11.3,-43,57.4,-125.6,0.9,-2.4,-11.3,-10.9,150.9,90.8,-6.6,4,-11.2,-10.9,150.9,90.8,-9.2,-2.4,-4,-10.9,150.9,90.8,-9.2,-2.4,-4,-85.2,-69.4,100.8,2.2,-7.5,-3.2,-85.2,-69.4,100.8,2.2,-7.5,-3.2,-27.3,-55.5,-104.7,2.2,-7.5,-3.2,-139,71.8,-72.6,-1.1,-1.6,-13.1,-139,71.8,-72.6,1
-11.7,1.7,-6.4,-139,71.8,-72.6,-11.7,1.7,-6.4,-33,21.1,138.9,-5.2,-5.3,1,-33,21.1,138.9,-5.2,-5.3,1,-41.8,-130.3,-3.3,-5.2,-5.3,1,-96,46.6,-106,2.4,-6.1,-2.1,-96,46.6,-106,2.4,-6.1,-2.1,-56.6,114.5,16.9,-6.2,-0.4,-10.3,-56.6,114.5,16.9,-6.2,-0.4,-10.3,-49,14.7,113.6,-8.9,-0.1,-6.7,-49,14.7,113.6,1
-4.9,-5.3,2,-49,14.7,113.6,-4.9,-5.3,2,-70.3,-126.8,-23.2,-2.2,-3.3,-8.6,-70.3,-126.8,-23.2,-2.2,-3.3,-8.6,-14.7,113.2,-121.7,-7,1.9,-11.4,-14.7,113.2,-121.7,-7,1.9,-11.4,-45.7,91.9,57.2,-11.4,-0.6,-2.8,-45.7,91.9,57.2,-11.4,-0.6,-2.8,-19.7,-56.1,105.6,-11.4,-0.6,-2.8,-71.5,-99.4,-46.2,2,-7,-2.6,-71.5,-99.4,-46.2,1
